Date,Open,High,Low,Close,Volume
1985-06-30,291.4,296.2,286.7,296.2,1471799400
1985-07-31,295.9,307.9,295.5,301.3,1645579200
1985-08-31,302.6,304.6,295.1,297.7,1521480000
1985-09-30,297.3,297.7,279.5,280.3,1241540700
1985-10-31,280.6,292.8,276.6,292.5,1728256200
1985-11-30,293,314,292.5,314,1712018400
1985-12-31,313.9,325.6,312.3,324.9,2057178600
1986-01-31,325,335.8,322.1,335.8,2242090500
1986-02-28,336.1,359.8,335.8,359.5,2181315000
1986-03-31,360,374.7,359.1,374.7,2414187000
1986-04-30,375.8,393,368,383.2,2617578000
1986-05-31,383.2,400.4,381.5,400.2,2243457600
1986-06-30,400.7,405.5,391.8,405.5,2389542000
1986-07-31,407,411.3,369.1,371.4,2242267200
1986-08-31,372.5,383.2,364.4,382.9,1954432200
1986-09-30,382.8,384,342.3,350.7,2048957400
1986-10-31,352.5,361.6,351.2,360.8,2002187700
1986-11-30,361,362.5,349.1,359.6,1929536100
1986-12-31,357.4,364.7,347,348.8,2426267700
1987-01-31,351.3,396.2,348.8,392.1,2961696600
1987-02-28,393.8,425,392,425,2817621000
1987-03-31,425,440,422.9,430.1,3073650000
1987-04-30,426.3,439.2,407.4,417.8,2815110000
1987-05-31,418.6,424.8,404.5,416.5,2588841000
1987-06-30,415.5,429.9,413.5,424.7,3045657000
1987-07-31,424.5,434.9,423.7,434.9,3142935000
1987-08-31,433.3,455.8,431.2,455,2916480000
1987-09-30,455.5,456.3,434.9,444.3,2876397000
1987-10-31,446.2,453.7,288.5,323.3,3789006000
1987-11-30,325.4,328.8,301.6,305.2,2322535500
1987-12-31,306.4,333.2,291.9,330.5,2737650300
1988-01-31,335.1,349.7,329,344.7,2292673200
1988-02-29,346.2,367,343.5,367,2318369100
1988-03-31,367.4,382.6,366.7,374.6,2934038400
1988-04-30,373.7,384.3,369.8,379.2,2327083200
1988-05-31,379,383.1,362.4,370.3,2294626200
1988-06-30,372.7,394.8,372.7,394.7,2879317200
1988-07-31,394.2,397.5,382.1,387.3,2426955900
1988-08-31,387.6,389.5,372.2,376.6,2409611400
1988-09-30,374.2,388.4,372.2,387.7,2180031600
1988-10-31,384.7,388.9,380.7,382.5,2321772900
1988-11-30,382.7,383.1,364,371.5,2125840500
1988-12-31,372.1,381.4,371.2,381.4,2312668200
1989-01-31,378.9,401.4,376.9,401.3,2525889300
1989-02-28,401.8,410.1,398.2,399.7,2350528500
1989-03-31,401,409.8,397.8,406.7,2668421100
1989-04-30,407,427.6,406.5,427.6,2475548400
1989-05-31,425.9,446.2,425.8,446.2,2859629100
1989-06-30,446.8,454.6,431.7,435.3,2803671000
1989-07-31,434.5,453.8,434.4,453.8,2324479200
1989-08-31,455.2,469.4,452.4,469.3,2843075100
1989-09-30,469.9,474.6,464.9,472.9,2439399300
1989-10-31,472.8,487.5,447.1,455.6,2939237100
1989-11-30,456.2,457.8,446.8,456.1,2354936700
1989-12-31,456.6,459.4,431.8,454.8,2583288900
1990-01-31,452.9,461.6,410,415.8,2815881900
1990-02-28,416.8,430.9,416.2,425.8,2251455600
1990-03-31,425.3,443.3,424.5,435.5,2683468500
1990-04-30,431.6,438.5,417,420.1,2410048500
1990-05-31,422,460,420.7,459,3225770100
1990-06-30,459.5,469.4,453.2,462.3,2922701700
1990-07-31,461.6,470.3,436.8,438.2,2775919800
1990-08-31,437.7,438.6,359.7,381.2,2893527600
1990-09-30,379,385.2,334.6,344.5,1943142000
1990-10-31,349,360.9,323,329.8,2500286400
1990-11-30,328.6,359.1,327.8,359.1,2211753900
1990-12-31,361.1,378,359.8,373.8,2325093000
1991-01-31,373,414.2,353,414.2,2719654800
1991-02-28,415.1,454.2,413.5,453.1,3081052800
1991-03-31,450.6,483.32,450.3,482.3,3334245300
1991-04-30,480.18,512.68,479.12,484.72,3826001400
1991-05-31,481.94,506.12,476.58,506.11,3141279600
1991-06-30,505.84,508.04,470.92,475.92,2636996400
1991-07-31,478.06,502.13,471.24,502.04,2881242300
1991-08-31,502.27,527.71,487.08,525.68,3045192000
1991-09-30,526.3,529.21,511.05,526.88,2990554500
1991-10-31,527.14,543.01,513.21,542.98,3785964900
1991-11-30,542.17,558.16,516.39,523.9,3441139500
1991-12-31,519.48,586.35,518.63,586.34,3378094800
1992-01-31,580.04,632.99,576.13,620.21,5213152200
1992-02-29,620.57,646.09,617.08,633.47,3924200100
1992-03-31,634.04,637.21,599.6,603.77,3764844600
1992-04-30,598.62,603.17,557.06,578.68,3670440300
1992-05-31,579.73,591.21,571.01,585.31,2896931400
1992-06-30,583.67,591.07,545.95,563.6,3338355900
1992-07-31,563.73,581.01,553.76,580.83,3340234500
